17,5,4,"[[8, 9, 3, 0, 8], [6, 9, 0, 9, 1], [8, 6, 6, 1, 7], [0, 3, 4, 8, 7], [2, 6, 3, 9, 5]]",None
16,8,3,"[[3, 1, 1, 1, 1], [1, 8, 5, 7, 4], [4, 1, 5, 4, 2], [5, 0, 5, 2, 6], [7, 0, 5, 9, 3]]",None
8,8,6,"[[4, 4, 0, 7, 5], [3, 8, 3, 5, 8], [7, 8, 9, 0, 8], [9, 7, 8, 9, 4], [5, 7, 9, 4, 4]]",None
19,13,3,"[[5, 5, 5, 1, 8], [8, 1, 8, 4, 1], [2, 8, 6, 9, 6], [8, 8, 0, 6, 7], [5, 3, 0, 8, 1]]",None
14,8,2,"[[9, 1, 9, 0, 5], [2, 5, 6, 7, 4], [7, 7, 7, 9, 4], [8, 3, 6, 2, 7], [0, 0, 4, 5, 2]]",None
17,5,1,"[[0, 2, 6, 6, 2], [2, 3, 2, 5, 1], [3, 5, 5, 2, 8], [8, 9, 2, 2, 9], [4, 8, 8, 9, 5]]",None
8,12,5,"[[3, 6, 1, 8, 1], [5, 3, 4, 8, 8], [7, 1, 7, 1, 7], [2, 0, 3, 1, 7], [0, 3, 8, 6, 6]]",None
8,8,1,"[[9, 2, 3, 5, 6], [9, 2, 6, 3, 9], [9, 6, 5, 7, 2], [0, 1, 6, 5, 6], [0, 6, 6, 7, 1]]",None
18,15,5,"[[2, 6, 8, 1, 9], [3, 3, 3, 4, 1], [5, 5, 9, 7, 0], [0, 2, 9, 9, 1], [3, 6, 9, 6, 9]]",None
19,14,6,"[[7, 6, 6, 6, 3], [2, 1, 8, 9, 2], [3, 5, 3, 3, 5], [8, 4, 9, 7, 5], [4, 8, 9, 5, 5]]",None
11,14,1,"[[8, 9, 3, 7, 1], [7, 6, 5, 2, 2], [6, 7, 8, 0, 3], [2, 7, 0, 0, 0], [0, 4, 4, 4, 9]]",None
12,7,4,"[[3, 4, 2, 0, 8], [3, 3, 3, 0, 2], [2, 3, 4, 5, 6], [5, 0, 6, 9, 3], [9, 2, 3, 9, 6]]",None
12,10,3,"[[6, 4, 3, 3, 8], [0, 7, 9, 2, 6], [5, 5, 6, 4, 5], [4, 8, 1, 1, 8], [8, 9, 8, 9, 5]]",None
11,6,5,"[[1, 0, 7, 1, 8], [6, 1, 8, 4, 2], [7, 5, 8, 4, 7], [3, 7, 6, 0, 1], [5, 6, 1, 3, 2]]",None
20,12,4,"[[4, 8, 4, 8, 0], [7, 4, 2, 5, 0], [3, 6, 6, 2, 7], [9, 1, 3, 4, 3], [5, 0, 1, 3, 4]]",None
16,5,2,"[[7, 3, 5, 3, 0], [7, 8, 6, 7, 9], [8, 9, 4, 5, 3], [8, 3, 3, 6, 5], [4, 9, 4, 7, 6]]",None
17,13,6,"[[0, 0, 1, 6, 3], [6, 2, 1, 4, 5], [6, 4, 9, 8, 7], [9, 4, 9, 4, 7], [8, 1, 0, 0, 2]]",None
15,8,3,"[[3, 8, 0, 7, 4], [3, 1, 8, 7, 0], [8, 0, 8, 9, 7], [2, 4, 5, 1, 6], [4, 5, 4, 5, 5]]",None
16,12,2,"[[6, 8, 0, 5, 9], [0, 2, 2, 6, 1], [5, 3, 0, 7, 9], [6, 1, 4, 3, 7], [4, 9, 0, 8, 3]]",None
12,8,3,"[[1, 3, 5, 7, 5], [5, 6, 6, 1, 2], [8, 6, 8, 7, 5], [2, 4, 5, 7, 5], [2, 0, 1, 1, 8]]",None
12,7,4,"[[7, 7, 2, 2, 3], [6, 3, 2, 1, 7], [1, 9, 7, 4, 6], [3, 5, 3, 0, 5], [7, 6, 3, 1, 0]]",None
15,10,1,"[[5, 2, 1, 2, 1], [9, 2, 2, 1, 5], [9, 7, 4, 9, 4], [5, 3, 3, 2, 9], [4, 4, 6, 3, 6]]",None
19,5,5,"[[3, 8, 1, 2, 9], [4, 5, 0, 5, 6], [1, 1, 6, 0, 1], [5, 8, 3, 6, 4], [9, 1, 2, 3, 7]]",None
